"especie","lat_max","lat_min","area_occ_km2","amplitude_lat","centroide_lat","centroide_long"
"Itapotihyla langsdorffii",-10.899229497,-29.2111605389999,520303.880649735,18.311931042,-20.507676335571,-43.799100518855
"Acris crepitans",42.4652838278801,28.9202865393852,971030.814389239,13.5449972884949,35.0917654705582,-83.8179673439529
"Bokermannohyla luctuosa",-22.6636330609999,-24.23203381,13317.7473801426,1.56840074900003,-23.3070970223442,-46.597739403041
"Phasmahyla cochranae",-21.418381827,-23.7934922979999,64011.6969401544,2.37511047099997,-22.3386305005323,-45.5427705260518
"Scinax acuminatus",-15.7015888789999,-32.659694902,1008884.84112212,16.958106023,-22.8203127075506,-58.104375623029
"Phyllomedusa distincta",-22.800773217,-29.6642050679999,111207.117854388,6.86343185099997,-25.5352291143112,-48.2060186324954
"Pseudacris ornata",36.0682859556324,28.3052425980675,347381.386480056,7.76304335756493,31.9752347804536,-83.289644249186
"Scinax squalirostris",-13.156207158,-37.191481981,2315732.40205268,24.035274823,-24.1343753030992,-50.1116892063604
"Aplastodiscus perviridis",-15.119457102,-29.8689279079999,1008449.86394029,14.749470806,-22.3630202012697,-49.0813309552642
"Scinax crospedospilus",-21.7573886179999,-23.7926799379999,40234.1608527709,2.03529132,-22.6034853706535,-44.6661579356185
"Scinax hayii",-19.5605838619999,-26.1813827289999,180209.483056106,6.62079886700002,-22.8342449564782,-44.9535189229786
"Osteocephalus leprieurii",5.77746100400003,-15.010996926,3829110.86753231,20.78845793,-3.78247065141171,-64.2620401373532
"Dendropsophus elegans",-5.69413480599997,-26.533308221,653964.490576446,20.839173415,-17.8258791675425,-41.7719611028499
"Smilisca baudinii",29.7604023032929,9.11024547473971,971423.370450769,20.6501568285532,18.9134454940596,-94.4173044850542
"Scinax boulengeri",14.91822786979,5.26867509557951,122570.39339448,9.64955277421047,10.6844461883527,-82.4063516231319
"Hyla meridionalis",46.1156355928283,27.6388355927754,643560.727300353,18.4768000000529,37.0871173691155,-3.61986679696463
"Bokermannohyla oxente",-12.049460295,-13.4564024429999,7500.37845212139,1.40694214799998,-12.7340979857948,-41.2958062966239
"Agalychnis callidryas",21.6057205197096,7.50736761112307,502963.874353262,14.0983529085865,15.1419510669879,-87.3443953443232
