"especie","lat_max","lat_min","area_occ_km2","amplitude_lat","centroide_lat","centroide_long"
"Lithobates areolatus",40.3465123233776,28.485716885645,280871.525669376,11.8607954377326,35.8065170734556,-93.9343825176588
"Lithobates capito",35.2675759181709,26.708366966029,242062.645271499,8.55920895214194,31.1168414892254,-82.3238791456184
"Lithobates catesbeianus",51.9570355930183,-34.8041988272141,7017501.99987777,86.7612344202323,40.0832923830382,-96.0713957147029
"Lithobates clamitans",51.3228783032911,27.2056287169917,3825313.98349421,24.1172495862994,40.2058608889596,-83.7846834982218
"Lithobates forreri",29.2530505617116,8.6892954716555,228515.508870424,20.5637550900561,18.2728979804166,-97.1736375727286
"Lithobates palmipes",11.033073879,-16.847794774,6998670.14136714,27.880868653,-2.87374815072144,-62.8384364709231
"Lithobates palustris",49.2489717346579,28.8192650026778,2477131.03342942,20.42970673198,39.627669218112,-82.8360381942629
"Lithobates pipiens",61.2256278993208,8.40170974379004,5999228.65318166,52.8239181555308,46.0707958942079,-95.2251881396427
"Lithobates sevosus",31.4344497572985,30.1965895198238,6367.10376224748,1.23786023747476,30.825602596775,-88.963978707361
"Lithobates sylvaticus",71.3906546153183,33.0902996961741,9098123.73753833,38.3003549191442,56.320807431367,-99.8320542937058
"Pelophylax nigromaculatus",53.480557386,24.053848745,4304710.27098133,29.426708641,36.907849456568,117.769199711278
"Pelophylax plancyi",40.5710581543184,27.1838254632657,745277.282052119,13.3872326910527,34.157547294952,117.2841825719
"Rana arvalis",68.3064355930001,45.1760355930001,9824484.08576628,23.1304,59.5067231506029,54.2930331702616
"Rana aurora",52.5750844286035,39.2631837966949,217640.533774626,13.3119006319086,46.6604010275382,-123.749655897356
"Rana chensinensis",53.507448292,29.185827256,2839517.29238617,24.321621036,41.1153648970425,117.196170224598
"Rana dalmatina",57.365435593,36.3879355930001,1802562.59790625,20.9775,45.8414491545347,15.302407205937
"Rana japonica",40.2997766349834,30.3380832667291,236399.317525806,9.96169336825432,35.8285004894103,136.48401896089
"Rana luteiventris",60.207653071732,38.2535839918078,1318712.40614324,21.9540690799241,48.0182943354571,-117.710654774941
"Rana pretiosa",49.3691739642759,42.2469156285847,13754.033605224,7.12225833569124,46.3870924810017,-122.054778927984
"Rana temporaria",71.1332076204354,40.682837385437,7751333.44317073,30.4503702349983,57.4542711110844,29.2968638714112
