family;species;male_svl_mm;female_svl_mm;fecundity_measure;fecundity_unit;breeding_pattern;evidences_territoriality;aquatic_reproduction;reference1;reference2;reference3;reference4
Allophrynidae;Allophryne ruthveni;22.6;27;300;eggs per clutch;Explosive;NA;1;Duellman 1997;Gottsberger and Gruber 2004;NA;NA
Alytidae;Alytes cisternasii;35.79;38.58;77.42;eggs per clutch;Explosive;NA;0;Márquez et al. 1997;Márquez 1992;NA;NA
Alytidae;Alytes obstetricans;41.74;49.69;63.67;eggs per clutch;Prolonged;NA;0;Márquez et al. 1997;Márquez 1992;NA;NA
Bombinatoridae;Barbourula busuangensis;84.8;85.3;78;eggs per clutch;NA;NA;NA;Inger 1954;NA;NA;NA
Bombinatoridae;Bombina bombina;NA;NA;190;eggs per clutch;Explosive;Yes;1;Kuzmin 1999;Wells 1977;NA;NA
Bombinatoridae;Bombina maxima;49.2;50.9;NA;NA;NA;NA;1;Yang 1991;NA;NA;NA
Bombinatoridae;Bombina microdeladigitora;58.4;63.4;NA;NA;NA;NA;1;Fei et al. 2009;NA;NA;NA
Bombinatoridae;Bombina orientalis;42.1;47;165;eggs per clutch;NA;Yes;1;Okada 1966;Kuzmin 1999;NA;NA
Bombinatoridae;Bombina variegata;NA;NA;72;eggs per clutch;Explosive;Yes;1;Kuzmin 1999;Wells 1977;NA;NA
Brachycephalidae;Brachycephalus crispus;12;14;NA;NA;NA;NA;0;Condez et al. 2014;NA;NA;NA
Brachycephalidae;Brachycephalus didactylus;6.5;8.3;NA;NA;NA;NA;0;Pers. Comm. T. H. Condez;NA;NA;NA
Brachycephalidae;Brachycephalus ephippium;14.33;16.66;5;actual clutches;NA;Yes;0;Pombal-Jr 1992;NA;NA;NA
Brachycephalidae;Brachycephalus ferruginus;12.2;13.8;NA;NA;NA;NA;0;Alves et al. 2006;NA;NA;NA
Brachycephalidae;Brachycephalus pitanga;11.5;13.4;NA;NA;NA;NA;0;Alves et al. 2009;NA;NA;NA
Brachycephalidae;Brachycephalus pombali;13.3;15;NA;NA;NA;NA;0;Alves et al. 2006;NA;NA;NA
Brachycephalidae;Brachycephalus toby;11.8;13.9;NA;NA;NA;NA;0;Haddad et al. 2010;NA;NA;NA
Brachycephalidae;Brachycephalus tridactylus;11.63;13.67;NA;NA;NA;NA;0;Garey et al. 2012;NA;NA;NA
Brachycephalidae;Ischnocnema guentheri ;25.53;36.64;35;eggs per clutch;Prolonged;NA;0;Giasson 2008;Haddad 1991;Giaretta and Facure 2008;NA
Brachycephalidae;Ischnocnema juipoca;19.95;26.26;15;eggs per clutch;Prolonged;Yes;0;Haddad 1991;Giaretta 1994;Giaretta and Facure 2008;NA
Brachycephalidae;Ischnocnema parva;15.67;19.86;20;eggs per clutch;Prolonged;NA;0;Giasson 2008;Giaretta and Facure 2008;NA;NA
Brevicipitidae;Breviceps fichus;35;43;NA;NA;Explosive;NA;0;Harper et al. 2010;Giaretta and Facure 2008;NA;NA
Brevicipitidae;Callulina dawida;27.1;29.1;NA;NA;NA;NA;NA;Loader et al. 2009;NA;NA;NA
Bufonidae;Amietophrynus maculatus;NA;NA;NA;NA;Prolonged;Yes;1;Wells 1977;NA;NA;NA
Bufonidae;Amietophrynus pardalis;94.8;109;NA;NA;NA;Yes;1;Cherry 1992;NA;NA;NA
Bufonidae;Amietophrynus regularis;NA;NA;15000;eggs per clutch;Explosive;Yes;1;Wager 1965;Wells 1977;NA;NA
Bufonidae;Anaxyrus americanus;53.1;64.1;6000;eggs per clutch;Explosive;Yes;1;Wilbur et al. 1978;Wright and Wright 1949;Howard 1988;Swanson et al. 2007
Bufonidae;Anaxyrus boreas;NA;NA;5213;eggs per clutch;Explosive;Yes;1;Degenhardt et al. 1996;Wells 1977;NA;NA
Bufonidae;Anaxyrus canorus;NA;NA;NA;NA;Prolonged;Yes;1;Wells 1977;NA;NA;NA
Bufonidae;Anaxyrus cognatus;NA;NA;22148;eggs per clutch;Explosive;Yes;1;Degenhardt et al. 1996;Wells 1977;NA;NA
Bufonidae;Anaxyrus debilis;35.1;36.5;NA;NA;NA;NA;1;Bogert 1962;NA;NA;NA
